sample_index,observed,AR(3),MA(2),"ARMA(3,2)","ARIMA(3,1,2)",Training-mean baseline
1937,1002.0,1025.502156980069,1026.0380355563846,1026.03137364912,1110.1799107054849,1026.0311111111112
1938,1000.0,1025.499429536454,1026.0380355563846,1026.031547512957,1110.1804711759237,1026.0311111111112
1939,1001.0,1025.4956700188125,1026.0380355563846,1026.0316259343826,1110.181178351954,1026.0311111111112
1940,1001.0,1025.4911920134305,1026.0380355563846,1026.0316151497398,1110.1819128064687,1026.0311111111112
1941,1004.0,1025.4863054398868,1026.0380355563846,1026.031530844225,1110.1825692701861,1026.0311111111112
1942,1002.0,1025.4813017489953,1026.0380355563846,1026.0313947759814,1110.1830690094957,1026.0311111111112
1943,1003.0,1025.4764418728514,1026.0380355563846,1026.031231237822,1110.1833666919551,1026.0311111111112
1944,1004.0,1025.4719471776257,1026.0380355563846,1026.031063797576,1110.1834516205852,1026.0311111111112
1945,1006.0,1025.4679934906933,1026.0380355563846,1026.0309126536702,1110.1833440116843,1026.0311111111112
1946,1005.0,1025.4647081134253,1026.0380355563846,1026.0307928157233,1110.1830875724638,1026.0311111111112
1947,1004.0,1025.4621695950048,1026.0380355563846,1026.0307131891398,1110.1827399560686,1026.0311111111112
1948,1001.0,1025.4604099346614,1026.0380355563846,1026.0306765239177,1110.1823627273077,1026.0311111111112
1949,1002.0,1025.459418801572,1026.0380355563846,1026.0306800930962,1110.1820122947927,1026.0311111111112
1950,1001.0,1025.4591493134687,1026.0380355563846,1026.030716902662,1110.1817329136877,1026.0311111111112
1951,999.0,1025.4595248953951,1026.0380355563846,1026.0307772046988,1110.1815524123754,1026.0311111111112
1952,999.0,1025.4604467464533,1026.0380355563846,1026.0308500871458,1110.1814808231054,1026.0311111111112
1953,1001.0,1025.4618014712296,1026.0380355563846,1026.030924941428,1110.1815116696273,1026.0311111111112
1954,999.0,1025.4634684796756,1026.0380355563846,1026.0309926558457,1110.1816253358427,1026.0311111111112
1955,1003.0,1025.4653268199395,1026.0380355563846,1026.0310464394952,1110.1817937392364,1026.0311111111112
1956,1002.0,1025.4672611783444,1026.0380355563846,1026.0310822402691,1110.1819854695493,1026.0311111111112
1957,1003.0,1025.469166854793,1026.0380355563846,1026.031098773978,1110.182170615006,1026.0311111111112
1958,1002.0,1025.4709535962015,1026.0380355563846,1026.0310972244313,1110.1823246581148,1026.0311111111112
1959,1003.0,1025.4725482413958,1026.0380355563846,1026.0310807031356,1110.182431043939,1026.0311111111112
1960,1002.0,1025.4738961952253,1026.0380355563846,1026.0310535710182,1110.1824822661863,1026.0311111111112
1961,1001.0,1025.4749618050746,1026.0380355563846,1026.0310207240886,1110.1824795438445,1026.0311111111112
1962,1003.0,1025.475727757885,1026.0380355563846,1026.0309869326077,1110.182431344347,1026.0311111111112
1963,1002.0,1025.4761936493169,1026.0380355563846,1026.0309563024864,1110.1823511297514,1026.0311111111112
1964,1003.0,1025.4763738985675,1026.0380355563846,1026.030931902147,1110.1822547529696,1026.0311111111112
1965,1005.0,1025.4762951929638,1026.0380355563846,1026.0309155716516,1110.182157915239,1026.0311111111112
1966,1003.0,1025.475993646692,1026.0380355563846,1026.030907906816,1110.1820740259013,1026.0311111111112
1967,1003.0,1025.475511849135,1026.0380355563846,1026.0309083917098,1110.1820126989703,1026.0311111111112
