,observed,trend,seasonal,residual
244,1028.0,1022.9849999999999,17.68148626845877,-12.66648626845867
245,1030.0,1023.1825,10.86010367285223,-4.042603672852234
246,1028.0,1023.3475000000001,2.4839988550233594,2.1685011449765588
247,1029.0,1023.4750000000001,-4.444050407249788,9.969050407249652
248,1030.0,1023.5775000000002,-9.814044113967515,16.2365441139673
249,1030.0,1023.6825000000001,-13.184593376240695,19.502093376240577
250,1031.0,1023.8050000000002,-14.779587082958393,21.974587082958216
251,1031.0,1023.9375000000001,-15.042636345231577,22.105136345231465
252,1030.0,1024.0700000000002,-15.750407829727077,21.680407829726914
253,1030.0,1024.21,-14.125679314222468,19.91567931422243
254,1031.0,1024.3500000000001,-12.501506354273442,19.151506354273305
255,1031.0,1024.4725,-11.653444505435552,18.18094450543547
256,1030.0,1024.5975,-12.357882656597658,17.760382656597578
257,1030.0,1024.7525,-12.94676525220419,18.194265252204133
258,1030.0,1024.9875000000002,-13.422314514477451,18.434814514477267
259,1029.0,1025.345,-14.341474887861805,17.99647488786178
260,1030.0,1025.8425,-14.925913039023882,19.08341303902391
261,1030.0,1026.5249999999999,-15.39896230129709,18.873962301297226
262,1031.0,1027.4499999999998,-14.983678230236936,18.53367823023712
263,1032.0,1028.645,-14.013116381399128,17.368116381399147
264,1032.0,1030.1025,-14.263387865894506,16.160887865894544
265,1033.0,1031.785,-14.399214905945495,15.614214905945413
266,1033.0,1033.6275,-13.41948639044097,12.791986390440915
267,1030.0,1035.5425,-12.43670231938086,6.894202319380842
268,1030.0,1037.4000000000003,-12.562807137209605,5.1628071372092865
269,1027.0,1039.0750000000003,-13.465023066149561,1.390023066149288
270,1033.0,1040.4850000000001,-13.256127883978344,5.771127883978217
271,1033.0,1041.5725000000002,-14.493621590696009,5.92112159069579
272,1035.0,1042.325,-12.176948630747022,4.851948630746977
273,1033.0,1042.795,-10.527775670797967,0.7327756707978939
274,1035.0,1043.0600000000002,-7.435824933071246,-0.6241750669289265
275,1036.0,1043.1975,-4.233596417566602,-2.963903582433389
276,1035.0,1043.2825000000003,-0.586367902062134,-7.69613209793812
277,1035.0,1043.3475,4.396971724553594,-12.744471724553676
278,1036.0,1043.415,11.71808912894702,-19.133089128946985
279,1033.0,1043.5075,18.152817644451638,-28.660317644451574
280,1034.0,1043.62,24.588379493289466,-34.20837949328936
281,1031.0,1043.73,30.13644134212735,-42.86644134212737
282,1032.0,1043.82,33.46394763540969,-45.283947635409625
283,1034.0,1043.8925,33.457842817580875,-43.3503428175808
284,1035.0,1043.9400000000003,30.4486824441965,-39.38868244419678
285,1036.0,1043.97,25.2111887374789,-33.18118873747893
286,1038.0,1044.0,19.296750586316797,-25.296750586316797
287,1040.0,1044.0275000000001,11.148145768488003,-15.175645768488149
288,1038.0,1044.055,3.3175965062147483,-9.372596506214812
289,1038.0,1044.0825,-2.644063867169549,-3.4384361328304327
290,1033.0,1044.085,-7.517113129442784,-3.5678868705572526
291,1033.0,1044.065,-9.526551280604892,-1.5384487193951628
